1,IA,"Alkali metals"
2,IIA,"Alkaline earths"
3,IIIB,""
4,IVB,""
5,VB,""
6,VIB,""
7,VIIB,""
8,VIIIB,""
9,VIIIB,""
10,VIIIB,""
11,IB,"Coinage metals"
12,IIB,""
13,IIIA,"Boron group"
14,IVA,"Carbon group"
15,VA,Pnictogens
16,VIA,Chalcogens
17,VIIA,Halogens
18,VIIIA,"Noble gases"
