1,89,3,6p6,VI,"",126.0,112.0,"from r^3 vs V plots, ",0
2,47,1,4d10,II,"",81.0,67.0,"",0
3,47,1,4d10,IV,"",114.0,100.0,"calculated, ",0
4,47,1,4d10,IVSQ,"",116.0,102.0,"",0
5,47,1,4d10,V,"",123.0,109.0,"calculated, ",0
6,47,1,4d10,VI,"",129.0,115.0,"calculated, ",0
7,47,1,4d10,VII,"",136.0,122.0,"",0
8,47,1,4d10,VIII,"",142.0,128.0,"",0
9,47,2,4d9,IVSQ,"",93.0,79.0,"",0
10,47,2,4d9,VI,"",108.0,94.0,"",0
11,47,3,4d8,IVSQ,"",81.0,67.0,"",0
12,47,3,4d8,VI,"",89.0,75.0,"from r^3 vs V plots, ",0
13,13,3,2p6,IV,"",53.0,39.0,"",1
14,13,3,2p6,V,"",62.0,48.0,"",0
15,13,3,2p6,VI,"",67.5,53.5,"from r^3 vs V plots, ",1
16,95,2,5f7,VII,"",135.0,121.0,"",0
17,95,2,5f7,VIII,"",140.0,126.0,"",0
18,95,2,5f7,IX,"",145.0,131.0,"",0
19,95,3,5f6,VI,"",111.5,97.5,"from r^3 vs V plots, ",0
20,95,3,5f6,VIII,"",123.0,109.0,"",0
21,95,4,5f5,VI,"",99.0,85.0,"from r^3 vs V plots, ",0
22,95,4,5f5,VIII,"",109.0,95.0,"",0
23,33,3,4s2,VI,"",72.0,58.0,"Ahrens (1952) ionic radius, ",0
24,33,5,3d10,IV,"",47.5,33.5,"from r^3 vs V plots, ",1
25,33,5,3d10,VI,"",60.0,46.0,"calculated, ",1
26,85,7,5d10,VI,"",76.0,62.0,"Ahrens (1952) ionic radius, ",0
27,79,1,5d10,VI,"",151.0,137.0,"Ahrens (1952) ionic radius, ",0
28,79,3,5d8,IVSQ,"",82.0,68.0,"",0
29,79,3,5d8,VI,"",99.0,85.0,"Ahrens (1952) ionic radius, ",0
30,79,5,5d6,VI,"",71.0,57.0,"",0
31,5,3,1s2,III,"",15.0,1.0,"",1
32,5,3,1s2,IV,"",25.0,11.0,"",1
33,5,3,1s2,VI,"",41.0,27.0,"calculated, ",0
34,56,2,5p6,VI,"",149.0,135.0,"",0
35,56,2,5p6,VII,"",152.0,138.0,"calculated, ",0
36,56,2,5p6,VIII,"",156.0,142.0,"",0
37,56,2,5p6,IX,"",161.0,147.0,"",0
38,56,2,5p6,X,"",166.0,152.0,"",0
39,56,2,5p6,XI,"",171.0,157.0,"",0
40,56,2,5p6,XII,"",175.0,161.0,"calculated, ",0
41,4,2,1s2,III,"",30.0,16.0,"",0
42,4,2,1s2,IV,"",41.0,27.0,"",1
43,4,2,1s2,VI,"",59.0,45.0,"calculated, ",0
44,83,3,6s2,V,"",110.0,96.0,"calculated, ",0
45,83,3,6s2,VI,"",117.0,103.0,"from r^3 vs V plots, ",1
46,83,3,6s2,VIII,"",131.0,117.0,"from r^3 vs V plots, ",0
47,83,5,5d10,VI,"",90.0,76.0,"estimated, ",0
48,97,3,5f8,VI,"",110.0,96.0,"from r^3 vs V plots, ",0
49,97,4,5f7,VI,"",97.0,83.0,"from r^3 vs V plots, ",0
50,97,4,5f7,VIII,"",107.0,93.0,"from r^3 vs V plots, ",0
51,35,-1,4p6,VI,"",182.0,196.0,"Pauling's (1960) crystal radius, ",0
52,35,3,4p2,IVSQ,"",73.0,59.0,"",0
53,35,5,4s2,IIIPY,"",45.0,31.0,"",0
54,35,7,3d10,IV,"",39.0,25.0,"",0
55,35,7,3d10,VI,"",53.0,39.0,"Ahrens (1952) ionic radius, ",0
56,6,4,1s2,III,"",6.0,-8.0,"",0
57,6,4,1s2,IV,"",29.0,15.0,"Pauling's (1960) crystal radius, ",0
58,6,4,1s2,VI,"",30.0,16.0,"Ahrens (1952) ionic radius, ",0
59,20,2,3p6,VI,"",114.0,100.0,"",0
60,20,2,3p6,VII,"",120.0,106.0,"",1
61,20,2,3p6,VIII,"",126.0,112.0,"",1
62,20,2,3p6,IX,"",132.0,118.0,"",0
63,20,2,3p6,X,"",137.0,123.0,"calculated, ",0
64,20,2,3p6,XII,"",148.0,134.0,"calculated, ",0
65,48,2,4d10,IV,"",92.0,78.0,"",0
66,48,2,4d10,V,"",101.0,87.0,"",0
67,48,2,4d10,VI,"",109.0,95.0,"",0
68,48,2,4d10,VII,"",117.0,103.0,"calculated, ",0
69,48,2,4d10,VIII,"",124.0,110.0,"calculated, ",0
70,48,2,4d10,XII,"",145.0,131.0,"",0
71,58,3,6s1,VI,"",115.0,101.0,"from r^3 vs V plots, ",0
72,58,3,6s1,VII,"",121.0,107.0,"estimated, ",0
73,58,3,6s1,VIII,"",128.3,114.3,"from r^3 vs V plots, ",0
74,58,3,6s1,IX,"",133.6,119.6,"from r^3 vs V plots, ",0
75,58,3,6s1,X,"",139.0,125.0,"",0
